# lane,0,0,200,0
# obstacle,100,0,2.0,2.0
t,true_x,true_y,true_yaw,est_x,est_y,est_yaw,v,throttle,brake,steer,n_obj,obj_x,obj_y
12.70,88.287,0.023,0.0079,87.657,-0.022,0.0075,6.590,0.000,0.503,-0.0031,1,100.000,0.000
12.80,88.879,0.028,0.0070,88.284,-0.012,0.0082,6.420,0.000,0.434,-0.0042,1,100.000,0.000
12.90,89.450,0.031,0.0061,88.891,-0.008,0.0072,6.235,0.000,0.521,-0.0042,1,100.000,0.000
13.00,90.004,0.034,0.0056,89.483,-0.010,0.0051,6.070,0.000,0.450,-0.0025,1,100.000,0.000
13.10,90.534,0.037,0.0055,90.064,-0.013,0.0027,5.932,0.000,0.564,-0.0007,1,100.000,0.000
13.20,91.040,0.039,0.0039,90.645,0.052,0.0067,5.726,0.000,0.621,-0.0083,1,100.000,0.000
13.30,91.525,0.040,0.0024,91.176,0.056,0.0051,5.499,0.000,0.522,-0.0085,1,100.000,-0.000
13.40,91.983,0.040,0.0002,91.690,0.074,0.0076,5.306,0.000,0.673,-0.0131,1,100.000,0.000
13.50,92.419,0.040,-0.0007,92.174,0.058,0.0003,5.054,0.000,0.553,-0.0053,1,100.000,0.000
13.60,92.824,0.039,-0.0018,92.642,0.064,0.0011,4.858,0.000,0.762,-0.0072,1,100.000,-0.000
13.70,93.205,0.038,-0.0025,93.074,0.059,-0.0013,4.578,0.000,0.613,-0.0056,1,100.000,-0.000
13.80,93.564,0.037,-0.0042,93.407,0.119,-0.0028,4.250,0.000,0.548,-0.0125,1,100.000,-0.000
13.90,93.883,0.035,-0.0057,93.796,0.130,-0.0012,4.056,0.000,1.000,-0.0127,1,100.000,-0.000
14.00,94.169,0.033,-0.0072,94.142,0.133,-0.0019,3.734,0.000,0.811,-0.0138,1,100.000,0.000
14.10,94.424,0.031,-0.0087,94.470,0.140,-0.0013,3.494,0.000,0.782,-0.0166,1,100.000,0.000
14.20,94.651,0.028,-0.0102,94.762,0.140,-0.0027,3.193,0.000,0.722,-0.0170,1,100.000,-0.000
14.30,94.851,0.026,-0.0110,95.017,0.127,-0.0081,2.857,0.000,0.654,-0.0118,1,100.000,-0.000
14.40,95.028,0.024,-0.0112,95.182,0.074,-0.0110,2.489,0.000,0.577,-0.0017,1,100.000,-0.000
14.50,95.183,0.023,-0.0111,95.389,0.066,-0.0132,2.261,0.000,0.549,0.0014,1,100.000,-0.000
14.60,95.318,0.021,-0.0114,95.568,0.076,-0.0082,2.005,0.000,0.494,-0.0057,1,100.000,-0.000
